subsample_ID,name,community,type,layer,fraction,repetition
78,M_PL_Lara-Romero_2016_nevero-Encroachedpasture-9,Plant-Pollinator,Monolayer,1,1,1
79,M_SD_KITA_mammals_added,Plant-Seed Dispersers,Monolayer,1,0.8,1
80,M_SD_KITA_mammals_added,Plant-Seed Dispersers,Monolayer,1,1,1
81,M_SD_Passos_2003,Plant-Seed Dispersers,Monolayer,1,0.8,1
82,M_SD_Passos_2003,Plant-Seed Dispersers,Monolayer,1,1,1
83,M_SD_Ruggera_2016_Chorro_de_Loros,Plant-Seed Dispersers,Monolayer,1,0.8,1
84,M_SD_Ruggera_2016_Chorro_de_Loros,Plant-Seed Dispersers,Monolayer,1,1,1
85,M_SD_Galetti1996-2,Plant-Seed Dispersers,Monolayer,1,0.8,1
86,M_SD_Galetti1996-2,Plant-Seed Dispersers,Monolayer,1,1,1
87,A_PH_Macfadyen2009_plant-herb_A10,Plant-Herbivore,Monolayer,1,0.8,1
88,A_PH_Macfadyen2009_plant-herb_A10,Plant-Herbivore,Monolayer,1,1,1
89,M_PL_Orford_2016_Field-19,Plant-Pollinator,Monolayer,1,0.8,1
90,M_PL_Orford_2016_Field-19,Plant-Pollinator,Monolayer,1,1,1
91,M_PL_Brosi2017_Back_of_Baldy_Bend_2014_Control,Plant-Pollinator,Monolayer,1,0.8,1
92,M_PL_Brosi2017_Back_of_Baldy_Bend_2014_Control,Plant-Pollinator,Monolayer,1,1,1
93,A_HP_Pilosof2013_1984,Host-Parasite,Monolayer,1,0.8,1
94,A_HP_Pilosof2013_1984,Host-Parasite,Monolayer,1,1,1
95,M_SD_Robinson_2015,Plant-Seed Dispersers,Monolayer,1,0.8,1
96,M_SD_Robinson_2015,Plant-Seed Dispersers,Monolayer,1,1,1
97,M_SD_Quitian_2018_2000Natural,Plant-Seed Dispersers,Monolayer,1,0.8,1
98,M_SD_Quitian_2018_2000Natural,Plant-Seed Dispersers,Monolayer,1,1,1
99,A_HP_Hadfield_2013_002,Host-Parasite,Monolayer,1,0.8,1
100,A_HP_Hadfield_2013_002,Host-Parasite,Monolayer,1,1,1
101,A_HP_Hadfield_2013_045,Host-Parasite,Monolayer,1,0.8,1
102,A_HP_Hadfield_2013_045,Host-Parasite,Monolayer,1,1,1
103,M_PL_Trojelsgaard_2015_Site2_WesternSahara2,Plant-Pollinator,Monolayer,1,0.8,1
104,M_PL_Trojelsgaard_2015_Site2_WesternSahara2,Plant-Pollinator,Monolayer,1,1,1
105,A_HP_Hadfield_2013_024,Host-Parasite,Monolayer,1,0.8,1
106,A_HP_Hadfield_2013_024,Host-Parasite,Monolayer,1,1,1
107,M_PL_Lara-Romero_2016_nevero-Encroachedpasture-1,Plant-Pollinator,Monolayer,1,0.8,1
108,M_PL_Lara-Romero_2016_nevero-Encroachedpasture-1,Plant-Pollinator,Monolayer,1,1,1
109,A_HP_Hadfield_2013_042,Host-Parasite,Monolayer,1,0.8,1
110,A_HP_Hadfield_2013_042,Host-Parasite,Monolayer,1,1,1
111,M_SD_Kessler-Rios_2012,Plant-Seed Dispersers,Monolayer,1,0.8,1
112,M_SD_Kessler-Rios_2012,Plant-Seed Dispersers,Monolayer,1,1,1
113,M_SD_Reid_2011,Plant-Seed Dispersers,Monolayer,1,0.8,1
114,M_SD_Reid_2011,Plant-Seed Dispersers,Monolayer,1,1,1
115,A_HP_belay26,Host-Parasite,Monolayer,1,0.8,1
116,A_HP_belay26,Host-Parasite,Monolayer,1,1,1
117,M_SD_Bastazini_2018,Plant-Seed Dispersers,Monolayer,1,0.8,1
118,M_SD_Bastazini_2018,Plant-Seed Dispersers,Monolayer,1,1,1
119,M_PL_Santos2010,Plant-Pollinator,Monolayer,1,0.8,1
120,M_PL_Santos2010,Plant-Pollinator,Monolayer,1,1,1
121,A_HP_Macfadyen2009_paras-herb_B1,Host-Parasite,Monolayer,1,0.8,1
122,A_HP_Macfadyen2009_paras-herb_B1,Host-Parasite,Monolayer,1,1,1
123,M_SD_Albrecht_203_2012,Plant-Seed Dispersers,Monolayer,1,0.8,1
124,M_SD_Albrecht_203_2012,Plant-Seed Dispersers,Monolayer,1,1,1
125,A_PH_Macfadyen2009_plant-herb_A3,Plant-Herbivore,Monolayer,1,0.8,1
126,A_PH_Macfadyen2009_plant-herb_A3,Plant-Herbivore,Monolayer,1,1,1
127,M_SD_Ramos-Robles_2016_net6,Plant-Seed Dispersers,Monolayer,1,0.8,1
128,M_SD_Ramos-Robles_2016_net6,Plant-Seed Dispersers,Monolayer,1,1,1
129,M_SD_Wyman_2017,Plant-Seed Dispersers,Monolayer,1,0.8,1
130,M_SD_Wyman_2017,Plant-Seed Dispersers,Monolayer,1,1,1
131,A_HP_Hadfield_2013_050,Host-Parasite,Monolayer,1,0.8,1
132,A_HP_Hadfield_2013_050,Host-Parasite,Monolayer,1,1,1
133,M_PL_Kaiser-Bunbury_2014_061_13,Plant-Pollinator,Monolayer,1,0.8,1
134,M_PL_Kaiser-Bunbury_2014_061_13,Plant-Pollinator,Monolayer,1,1,1
135,A_HP_Macfadyen2009_paras-herb_A6,Host-Parasite,Monolayer,1,0.8,1
136,A_HP_Macfadyen2009_paras-herb_A6,Host-Parasite,Monolayer,1,1,1
137,M_SD_Tutin1997,Plant-Seed Dispersers,Monolayer,1,0.8,1
138,M_SD_Tutin1997,Plant-Seed Dispersers,Monolayer,1,1,1
139,M_PL_Sabatino_4,Plant-Pollinator,Monolayer,1,0.8,1
140,M_PL_Sabatino_4,Plant-Pollinator,Monolayer,1,1,1
141,A_PH_Macfadyen2009_plant-herb_A5,Plant-Herbivore,Monolayer,1,0.8,1
142,A_PH_Macfadyen2009_plant-herb_A5,Plant-Herbivore,Monolayer,1,1,1
143,M_SD_Vizentin-Bugoni_2019_MOA,Plant-Seed Dispersers,Monolayer,1,0.8,1
144,M_SD_Vizentin-Bugoni_2019_MOA,Plant-Seed Dispersers,Monolayer,1,1,1
145,A_HP_Hadfield_2013_021,Host-Parasite,Monolayer,1,0.8,1
146,A_HP_Hadfield_2013_021,Host-Parasite,Monolayer,1,1,1
147,M_SD_Hasui_1998,Plant-Seed Dispersers,Monolayer,1,0.8,1
148,M_SD_Hasui_1998,Plant-Seed Dispersers,Monolayer,1,1,1
149,A_PH_site01_period01_Martins,Plant-Herbivore,Monolayer,1,0.8,1
150,A_PH_site01_period01_Martins,Plant-Herbivore,Monolayer,1,1,1
151,M_PL_Orford_2016_Field-72,Plant-Pollinator,Monolayer,1,0.8,1
152,M_PL_Orford_2016_Field-72,Plant-Pollinator,Monolayer,1,1,1
153,A_HP_Hadfield_2013_005,Host-Parasite,Monolayer,1,0.8,1
154,A_HP_Hadfield_2013_005,Host-Parasite,Monolayer,1,1,1
155,A_PH_site08_period01_Martins,Plant-Herbivore,Monolayer,1,0.8,1
156,A_PH_site08_period01_Martins,Plant-Herbivore,Monolayer,1,1,1
157,M_PL_Lundgren2005,Plant-Pollinator,Monolayer,1,0.8,1
158,M_PL_Lundgren2005,Plant-Pollinator,Monolayer,1,1,1
159,M_SD_Ruggera_2016_EcoPortal,Plant-Seed Dispersers,Monolayer,1,0.8,1
160,M_SD_Ruggera_2016_EcoPortal,Plant-Seed Dispersers,Monolayer,1,1,1
161,M_SD_Correia_2016_non-sanctuary,Plant-Seed Dispersers,Monolayer,1,0.8,1
162,M_SD_Correia_2016_non-sanctuary,Plant-Seed Dispersers,Monolayer,1,1,1
163,M_PL_Brosi2017_Gothic_Road_2013_Manipulation,Plant-Pollinator,Monolayer,1,0.8,1
164,M_PL_Brosi2017_Gothic_Road_2013_Manipulation,Plant-Pollinator,Monolayer,1,1,1
165,M_SD_Skutch_1980,Plant-Seed Dispersers,Monolayer,1,0.8,1
166,M_SD_Skutch_1980,Plant-Seed Dispersers,Monolayer,1,1,1
167,M_SD_fragmented_Farwig,Plant-Seed Dispersers,Monolayer,1,0.8,1
168,M_SD_fragmented_Farwig,Plant-Seed Dispersers,Monolayer,1,1,1
169,M_PL_Kaiser-Bunbury_2014_061_39,Plant-Pollinator,Monolayer,1,0.8,1
170,M_PL_Kaiser-Bunbury_2014_061_39,Plant-Pollinator,Monolayer,1,1,1
171,M_PL_Trojelsgaard_2015_Site5_GranCanaria1,Plant-Pollinator,Monolayer,1,0.8,1
172,M_PL_Trojelsgaard_2015_Site5_GranCanaria1,Plant-Pollinator,Monolayer,1,1,1
173,M_SD_Sanitjan_2009_ML_primary_forest,Plant-Seed Dispersers,Monolayer,1,0.8,1
174,M_SD_Sanitjan_2009_ML_primary_forest,Plant-Seed Dispersers,Monolayer,1,1,1
175,M_PL_Orford_2016_Field-13,Plant-Pollinator,Monolayer,1,0.8,1
176,M_PL_Orford_2016_Field-13,Plant-Pollinator,Monolayer,1,1,1
177,A_HP_belay15,Host-Parasite,Monolayer,1,0.8,1
178,A_HP_belay15,Host-Parasite,Monolayer,1,1,1
179,M_PL_Lara-Romero_2016_nevero-Encroachedpasture-7,Plant-Pollinator,Monolayer,1,0.8,1
180,M_PL_Lara-Romero_2016_nevero-Encroachedpasture-7,Plant-Pollinator,Monolayer,1,1,1
181,A_HP_Hadfield_2013_007,Host-Parasite,Monolayer,1,0.8,1
182,A_HP_Hadfield_2013_007,Host-Parasite,Monolayer,1,1,1
183,M_PL_Dicks2002-1,Plant-Pollinator,Monolayer,1,0.8,1
184,M_PL_Dicks2002-1,Plant-Pollinator,Monolayer,1,1,1
185,M_PL_Brosi2017_Judd_Falls_TH_2013_Control,Plant-Pollinator,Monolayer,1,0.8,1
186,M_PL_Brosi2017_Judd_Falls_TH_2013_Control,Plant-Pollinator,Monolayer,1,1,1
187,M_SD_Dehling_2017_San_Pedro_4,Plant-Seed Dispersers,Monolayer,1,0.8,1
188,M_SD_Dehling_2017_San_Pedro_4,Plant-Seed Dispersers,Monolayer,1,1,1
189,M_PL_Kaiser-Bunbury_2010_060_04,Plant-Pollinator,Monolayer,1,0.8,1
190,M_PL_Kaiser-Bunbury_2010_060_04,Plant-Pollinator,Monolayer,1,1,1
191,A_HP_Hadfield_2013_047,Host-Parasite,Monolayer,1,0.8,1
192,A_HP_Hadfield_2013_047,Host-Parasite,Monolayer,1,1,1
193,A_HP_Macfadyen2009_paras-herb_B8,Host-Parasite,Monolayer,1,0.8,1
194,A_HP_Macfadyen2009_paras-herb_B8,Host-Parasite,Monolayer,1,1,1
195,M_SD_Ramos-Robles_2016_net8,Plant-Seed Dispersers,Monolayer,1,0.8,1
196,M_SD_Ramos-Robles_2016_net8,Plant-Seed Dispersers,Monolayer,1,1,1
197,A_PH_Macfadyen2009_plant-herb_B1,Plant-Herbivore,Monolayer,1,0.8,1
198,A_PH_Macfadyen2009_plant-herb_B1,Plant-Herbivore,Monolayer,1,1,1
199,M_PL_Orford_2016_Field-24,Plant-Pollinator,Monolayer,1,0.8,1
200,M_PL_Orford_2016_Field-24,Plant-Pollinator,Monolayer,1,1,1
201,A_HP_Hadfield_2013_051,Host-Parasite,Monolayer,1,0.8,1
202,A_HP_Hadfield_2013_051,Host-Parasite,Monolayer,1,1,1
203,M_SD_Bleher_2003,Plant-Seed Dispersers,Monolayer,1,0.8,1
204,M_SD_Bleher_2003,Plant-Seed Dispersers,Monolayer,1,1,1
205,A_HP_Macfadyen2009_paras-herb_B7,Host-Parasite,Monolayer,1,0.8,1
206,A_HP_Macfadyen2009_paras-herb_B7,Host-Parasite,Monolayer,1,1,1
207,M_PL_Lara-Romero_2016_penalara-Pasture-1,Plant-Pollinator,Monolayer,1,0.8,1
208,M_PL_Lara-Romero_2016_penalara-Pasture-1,Plant-Pollinator,Monolayer,1,1,1
209,M_PL_Dupont2009-1,Plant-Pollinator,Monolayer,1,0.8,1
210,M_PL_Dupont2009-1,Plant-Pollinator,Monolayer,1,1,1
211,M_SD_Albrecht_30_2012,Plant-Seed Dispersers,Monolayer,1,0.8,1
212,M_SD_Albrecht_30_2012,Plant-Seed Dispersers,Monolayer,1,1,1
213,M_PL_Kaiser-Bunbury_2014_061_36,Plant-Pollinator,Monolayer,1,0.8,1
214,M_PL_Kaiser-Bunbury_2014_061_36,Plant-Pollinator,Monolayer,1,1,1
215,M_PL_Kaiser-Bunbury_2014_061_02,Plant-Pollinator,Monolayer,1,0.8,1
216,M_PL_Kaiser-Bunbury_2014_061_02,Plant-Pollinator,Monolayer,1,1,1
217,M_PL_Brosi2017_Belleview_Bench_2013_Control,Plant-Pollinator,Monolayer,1,0.8,1
218,M_PL_Brosi2017_Belleview_Bench_2013_Control,Plant-Pollinator,Monolayer,1,1,1
219,M_PL_Sabatino_5,Plant-Pollinator,Monolayer,1,0.8,1
220,M_PL_Sabatino_5,Plant-Pollinator,Monolayer,1,1,1
221,M_PL_Kaiser-Bunbury_2014_061_30,Plant-Pollinator,Monolayer,1,0.8,1
222,M_PL_Kaiser-Bunbury_2014_061_30,Plant-Pollinator,Monolayer,1,1,1
223,M_PL_Kaiser-Bunbury_2010_060_16,Plant-Pollinator,Monolayer,1,0.8,1
224,M_PL_Kaiser-Bunbury_2010_060_16,Plant-Pollinator,Monolayer,1,1,1
225,M_SD_Beehler1983,Plant-Seed Dispersers,Monolayer,1,0.8,1
226,M_SD_Beehler1983,Plant-Seed Dispersers,Monolayer,1,1,1
227,M_SD_Jayasekara_2007,Plant-Seed Dispersers,Monolayer,1,0.8,1
228,M_SD_Jayasekara_2007,Plant-Seed Dispersers,Monolayer,1,1,1
229,M_PL_Orford_2016_Field-55,Plant-Pollinator,Monolayer,1,0.8,1
230,M_PL_Orford_2016_Field-55,Plant-Pollinator,Monolayer,1,1,1
231,M_PL_Kaiser-Bunbury_2014_061_28,Plant-Pollinator,Monolayer,1,0.8,1
232,M_PL_Kaiser-Bunbury_2014_061_28,Plant-Pollinator,Monolayer,1,1,1
233,M_SD_Genrich_2017,Plant-Seed Dispersers,Monolayer,1,0.8,1
234,M_SD_Genrich_2017,Plant-Seed Dispersers,Monolayer,1,1,1
235,M_PL_Gilarranz_2015_ElMorro,Plant-Pollinator,Monolayer,1,0.8,1
236,M_PL_Gilarranz_2015_ElMorro,Plant-Pollinator,Monolayer,1,1,1
237,M_SD_Plein_2013_Forest_autumn,Plant-Seed Dispersers,Monolayer,1,0.8,1
238,M_SD_Plein_2013_Forest_autumn,Plant-Seed Dispersers,Monolayer,1,1,1
239,M_SD_Fonseca_2007,Plant-Seed Dispersers,Monolayer,1,0.8,1
240,M_SD_Fonseca_2007,Plant-Seed Dispersers,Monolayer,1,1,1
241,M_PL_Brosi2017_Cold_Springs_Ranch_2014_Control,Plant-Pollinator,Monolayer,1,0.8,1
242,M_PL_Brosi2017_Cold_Springs_Ranch_2014_Control,Plant-Pollinator,Monolayer,1,1,1
243,A_PH_Macfadyen2009_plant-herb_B9,Plant-Herbivore,Monolayer,1,0.8,1
244,A_PH_Macfadyen2009_plant-herb_B9,Plant-Herbivore,Monolayer,1,1,1
245,M_SD_Dowsett-Lemaire_1988,Plant-Seed Dispersers,Monolayer,1,0.8,1
246,M_SD_Dowsett-Lemaire_1988,Plant-Seed Dispersers,Monolayer,1,1,1
247,M_SD_Plein_2013_Farmland_autumn,Plant-Seed Dispersers,Monolayer,1,0.8,1
248,M_SD_Plein_2013_Farmland_autumn,Plant-Seed Dispersers,Monolayer,1,1,1
249,M_SD_Skeate_1985,Plant-Seed Dispersers,Monolayer,1,0.8,1
250,M_SD_Skeate_1985,Plant-Seed Dispersers,Monolayer,1,1,1
251,A_HP_Hadfield_2013_014,Host-Parasite,Monolayer,1,0.8,1
252,A_HP_Hadfield_2013_014,Host-Parasite,Monolayer,1,1,1
253,M_SD_Ramos-Robles_2018,Plant-Seed Dispersers,Monolayer,1,0.8,1
254,M_SD_Ramos-Robles_2018,Plant-Seed Dispersers,Monolayer,1,1,1
255,M_SD_Lambert1989,Plant-Seed Dispersers,Monolayer,1,0.8,1
256,M_SD_Lambert1989,Plant-Seed Dispersers,Monolayer,1,1,1
257,M_SD_Ruggera_2016_Los_Chorizos,Plant-Seed Dispersers,Monolayer,1,0.8,1
258,M_SD_Ruggera_2016_Los_Chorizos,Plant-Seed Dispersers,Monolayer,1,1,1
259,M_PL_Lara-Romero_2016_nevero-Pasture-9,Plant-Pollinator,Monolayer,1,0.8,1
260,M_PL_Lara-Romero_2016_nevero-Pasture-9,Plant-Pollinator,Monolayer,1,1,1
261,M_PL_Kaiser-Bunbury_2014_061_43,Plant-Pollinator,Monolayer,1,0.8,1
262,M_PL_Kaiser-Bunbury_2014_061_43,Plant-Pollinator,Monolayer,1,1,1
263,M_SD_Ruggera_2016_Quebrada_del_Port,Plant-Seed Dispersers,Monolayer,1,0.8,1
264,M_SD_Ruggera_2016_Quebrada_del_Port,Plant-Seed Dispersers,Monolayer,1,1,1
265,M_PL_Gilarranz_2015_PiedraAlta,Plant-Pollinator,Monolayer,1,0.8,1
266,M_PL_Gilarranz_2015_PiedraAlta,Plant-Pollinator,Monolayer,1,1,1
267,M_PL_Kaiser-Bunbury_2010_060_21,Plant-Pollinator,Monolayer,1,0.8,1
268,M_PL_Kaiser-Bunbury_2010_060_21,Plant-Pollinator,Monolayer,1,1,1
269,M_PL_Brosi2017_Past_Rustlers_2013_Manipulation,Plant-Pollinator,Monolayer,1,0.8,1
270,M_PL_Brosi2017_Past_Rustlers_2013_Manipulation,Plant-Pollinator,Monolayer,1,1,1
271,A_HP_Arthur1976,Host-Parasite,Monolayer,1,0.8,1
272,A_HP_Arthur1976,Host-Parasite,Monolayer,1,1,1
273,M_SD_Souza_Laurindo_2017,Plant-Seed Dispersers,Monolayer,1,0.8,1
274,M_SD_Souza_Laurindo_2017,Plant-Seed Dispersers,Monolayer,1,1,1
275,M_PL_Lara-Romero_2016_penalara-Pasture-8,Plant-Pollinator,Monolayer,1,0.8,1
276,M_PL_Lara-Romero_2016_penalara-Pasture-8,Plant-Pollinator,Monolayer,1,1,1
277,M_PL_Carstensen2017_Gomera,Plant-Pollinator,Monolayer,1,0.8,1
278,M_PL_Carstensen2017_Gomera,Plant-Pollinator,Monolayer,1,1,1
279,M_SD_Wilms_2006,Plant-Seed Dispersers,Monolayer,1,0.8,1
280,M_SD_Wilms_2006,Plant-Seed Dispersers,Monolayer,1,1,1
281,M_SD_Quijano-Vasquez_2017,Plant-Seed Dispersers,Monolayer,1,0.8,1
282,M_SD_Quijano-Vasquez_2017,Plant-Seed Dispersers,Monolayer,1,1,1
283,A_HP_Hadfield_2013_013,Host-Parasite,Monolayer,1,0.8,1
284,A_HP_Hadfield_2013_013,Host-Parasite,Monolayer,1,1,1
285,M_PL_Orford_2016_Field-4,Plant-Pollinator,Monolayer,1,0.8,1
286,M_PL_Orford_2016_Field-4,Plant-Pollinator,Monolayer,1,1,1
287,M_SD_Walther_2018,Plant-Seed Dispersers,Monolayer,1,0.8,1
288,M_SD_Walther_2018,Plant-Seed Dispersers,Monolayer,1,1,1
289,M_SD_Albrecht_111_2012,Plant-Seed Dispersers,Monolayer,1,0.8,1
290,M_SD_Albrecht_111_2012,Plant-Seed Dispersers,Monolayer,1,1,1
291,M_PL_Lara-Romero_2016_penalara-Encroachedpasture-2,Plant-Pollinator,Monolayer,1,0.8,1
292,M_PL_Lara-Romero_2016_penalara-Encroachedpasture-2,Plant-Pollinator,Monolayer,1,1,1
293,M_PL_Brosi2017_Rustlers_2013_Control,Plant-Pollinator,Monolayer,1,0.8,1
294,M_PL_Brosi2017_Rustlers_2013_Control,Plant-Pollinator,Monolayer,1,1,1
295,M_SD_Chen_1999,Plant-Seed Dispersers,Monolayer,1,0.8,1
296,M_SD_Chen_1999,Plant-Seed Dispersers,Monolayer,1,1,1
297,A_HP_Hadfield_2013_046,Host-Parasite,Monolayer,1,0.8,1
298,A_HP_Hadfield_2013_046,Host-Parasite,Monolayer,1,1,1
299,M_SD_Castano_2009,Plant-Seed Dispersers,Monolayer,1,0.8,1
300,M_SD_Castano_2009,Plant-Seed Dispersers,Monolayer,1,1,1
301,M_SD_Fuentes_1994,Plant-Seed Dispersers,Monolayer,1,0.8,1
302,M_SD_Fuentes_1994,Plant-Seed Dispersers,Monolayer,1,1,1
303,M_SD_Kone_2008,Plant-Seed Dispersers,Monolayer,1,0.8,1
304,M_SD_Kone_2008,Plant-Seed Dispersers,Monolayer,1,1,1
305,M_SD_Garcia-Estrada_2012,Plant-Seed Dispersers,Monolayer,1,0.8,1
306,M_SD_Garcia-Estrada_2012,Plant-Seed Dispersers,Monolayer,1,1,1
307,M_PL_Orford_2016_Farm-2013-B1,Plant-Pollinator,Monolayer,1,0.8,1
308,M_PL_Orford_2016_Farm-2013-B1,Plant-Pollinator,Monolayer,1,1,1
309,M_SD_Ruggera_2016_A,Plant-Seed Dispersers,Monolayer,1,0.8,1
