"subsample_ID","model","metric","value"
23,"Matching_Centrality","pr_auc",0.341123366218333
23,"Matching_Centrality","f1",0.118811881188119
23,"Matching_Centrality","recall",0.5
23,"Matching_Centrality","precision",0.0674157303370786
23,"Matching_Centrality","specificity",0.673228346456693
23,"Matching_Centrality","mcc",0.0761982162123722
23,"TLP","balanced_accuracy",0.468503937007874
23,"TLP","roc_auc",0.703576115485564
23,"TLP","pr_auc",0.350977624348993
23,"TLP","f1",0
23,"TLP","recall",0
23,"TLP","precision",0
23,"TLP","specificity",0.937007874015748
23,"TLP","mcc",-0.0549874717298777
25,"Random Forest","balanced_accuracy",0.520292207792208
25,"Random Forest","roc_auc",0.57224025974026
25,"Random Forest","pr_auc",0.377948741123785
25,"Random Forest","f1",0.117647058823529
25,"Random Forest","recall",0.142857142857143
25,"Random Forest","precision",0.1
25,"Random Forest","specificity",0.897727272727273
25,"Random Forest","mcc",0.0345493745514239
25,"SBM","balanced_accuracy",0.364448051948052
25,"SBM","roc_auc",0.652597402597403
25,"SBM","pr_auc",0.344255424198647
25,"SBM","f1",0.0689655172413793
25,"SBM","recall",0.285714285714286
25,"SBM","precision",0.0392156862745098
25,"SBM","specificity",0.443181818181818
25,"SBM","mcc",-0.142041316466335
25,"Matching_Centrality","balanced_accuracy",0.383928571428571
25,"Matching_Centrality","roc_auc",0.61038961038961
25,"Matching_Centrality","pr_auc",0.343617539246657
25,"Matching_Centrality","f1",0.0487804878048781
25,"Matching_Centrality","recall",0.142857142857143
25,"Matching_Centrality","precision",0.0294117647058824
25,"Matching_Centrality","specificity",0.625
25,"Matching_Centrality","mcc",-0.126514791866243
25,"TLP","balanced_accuracy",0.525974025974026
25,"TLP","roc_auc",0.583603896103896
25,"TLP","pr_auc",0.377948741123785
25,"TLP","f1",0.125
25,"TLP","recall",0.142857142857143
25,"TLP","precision",0.111111111111111
25,"TLP","specificity",0.909090909090909
25,"TLP","mcc",0.0463435332916647
27,"Random Forest","balanced_accuracy",0.720657276995305
27,"Random Forest","roc_auc",0.76056338028169
27,"Random Forest","pr_auc",0.381888005382969
27,"Random Forest","f1",0.307692307692308
27,"Random Forest","recall",0.666666666666667
27,"Random Forest","precision",0.2
27,"Random Forest","specificity",0.774647887323944
27,"Random Forest","mcc",0.26977433088689
27,"SBM","balanced_accuracy",0.402582159624413
27,"SBM","roc_auc",0.607394366197183
27,"SBM","pr_auc",0.342068969709026
27,"SBM","f1",0.0879120879120879
27,"SBM","recall",0.333333333333333
27,"SBM","precision",0.0506329113924051
27,"SBM","specificity",0.471830985915493
