"fold","network","community","metric","value"
3,"M_PL_Lara-Romero_2016_penalara-Pasture-6","Plant-Pollinator","recall",0.428571428571429
3,"M_PL_Lara-Romero_2016_penalara-Pasture-6","Plant-Pollinator","precision",0.0882352941176471
3,"M_PL_Lara-Romero_2016_penalara-Pasture-6","Plant-Pollinator","specificity",0.647727272727273
3,"M_PL_Lara-Romero_2016_penalara-Pasture-6","Plant-Pollinator","f1",0.146341463414634
3,"M_PL_Lara-Romero_2016_penalara-Pasture-6","Plant-Pollinator","balanced_accuracy",0.538149350649351
3,"M_PL_Lara-Romero_2016_penalara-Pasture-6","Plant-Pollinator","mcc",0.0415817847392547
1,"M_SD_Chama_2013_net9","Plant-Seed Dispersers","roc_auc",0.834507042253521
1,"M_SD_Chama_2013_net9","Plant-Seed Dispersers","pr_auc",0.381888005382969
1,"M_SD_Chama_2013_net9","Plant-Seed Dispersers","recall",0.583333333333333
1,"M_SD_Chama_2013_net9","Plant-Seed Dispersers","precision",0.184210526315789
1,"M_SD_Chama_2013_net9","Plant-Seed Dispersers","specificity",0.78169014084507
1,"M_SD_Chama_2013_net9","Plant-Seed Dispersers","f1",0.28
1,"M_SD_Chama_2013_net9","Plant-Seed Dispersers","balanced_accuracy",0.682511737089202
1,"M_SD_Chama_2013_net9","Plant-Seed Dispersers","mcc",0.226952408793777
2,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-4","Plant-Pollinator","roc_auc",0.788924930491196
2,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-4","Plant-Pollinator","pr_auc",0.343841388809395
2,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-4","Plant-Pollinator","recall",0.307692307692308
2,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-4","Plant-Pollinator","precision",0.114285714285714
2,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-4","Plant-Pollinator","specificity",0.906626506024096
2,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-4","Plant-Pollinator","f1",0.166666666666667
2,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-4","Plant-Pollinator","balanced_accuracy",0.607159406858202
2,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-4","Plant-Pollinator","mcc",0.135171815118946
3,"M_SD_Correa_2016_Caqueta","Plant-Seed Dispersers","roc_auc",0.768092105263158
3,"M_SD_Correa_2016_Caqueta","Plant-Seed Dispersers","pr_auc",0.422924990692809
3,"M_SD_Correa_2016_Caqueta","Plant-Seed Dispersers","recall",0.8125
3,"M_SD_Correa_2016_Caqueta","Plant-Seed Dispersers","precision",0.2
3,"M_SD_Correa_2016_Caqueta","Plant-Seed Dispersers","specificity",0.543859649122807
3,"M_SD_Correa_2016_Caqueta","Plant-Seed Dispersers","f1",0.320987654320988
3,"M_SD_Correa_2016_Caqueta","Plant-Seed Dispersers","balanced_accuracy",0.678179824561403
3,"M_SD_Correa_2016_Caqueta","Plant-Seed Dispersers","mcc",0.234146452895424
3,"A_HP_Hadfield_2013_037","Host-Parasite","roc_auc",0.754889721181856
3,"A_HP_Hadfield_2013_037","Host-Parasite","pr_auc",0.368096444680773
3,"A_HP_Hadfield_2013_037","Host-Parasite","recall",0.833333333333333
3,"A_HP_Hadfield_2013_037","Host-Parasite","precision",0.161290322580645
3,"A_HP_Hadfield_2013_037","Host-Parasite","specificity",0.707865168539326
3,"A_HP_Hadfield_2013_037","Host-Parasite","f1",0.27027027027027
3,"A_HP_Hadfield_2013_037","Host-Parasite","balanced_accuracy",0.77059925093633
3,"A_HP_Hadfield_2013_037","Host-Parasite","mcc",0.280773671050978
1,"A_HP_Macfadyen2009_paras-herb_A8","Host-Parasite","roc_auc",0.823851664559629
1,"A_HP_Macfadyen2009_paras-herb_A8","Host-Parasite","pr_auc",0.345746610561328
1,"A_HP_Macfadyen2009_paras-herb_A8","Host-Parasite","recall",0.428571428571429
1,"A_HP_Macfadyen2009_paras-herb_A8","Host-Parasite","precision",0.25
1,"A_HP_Macfadyen2009_paras-herb_A8","Host-Parasite","specificity",0.946902654867257
1,"A_HP_Macfadyen2009_paras-herb_A8","Host-Parasite","f1",0.315789473684211
1,"A_HP_Macfadyen2009_paras-herb_A8","Host-Parasite","balanced_accuracy",0.687737041719343
1,"A_HP_Macfadyen2009_paras-herb_A8","Host-Parasite","mcc",0.291098697972812
4,"M_PL_Lara-Romero_2016_nevero-Encroachedpasture-8","Plant-Pollinator","roc_auc",0.708108610749488
4,"M_PL_Lara-Romero_2016_nevero-Encroachedpasture-8","Plant-Pollinator","pr_auc",0.338815170143013
4,"M_PL_Lara-Romero_2016_nevero-Encroachedpasture-8","Plant-Pollinator","recall",0.105263157894737
4,"M_PL_Lara-Romero_2016_nevero-Encroachedpasture-8","Plant-Pollinator","precision",0.0333333333333333
4,"M_PL_Lara-Romero_2016_nevero-Encroachedpasture-8","Plant-Pollinator","specificity",0.897526501766785
4,"M_PL_Lara-Romero_2016_nevero-Encroachedpasture-8","Plant-Pollinator","f1",0.0506329113924051
4,"M_PL_Lara-Romero_2016_nevero-Encroachedpasture-8","Plant-Pollinator","balanced_accuracy",0.501394829830761
4,"M_PL_Lara-Romero_2016_nevero-Encroachedpasture-8","Plant-Pollinator","mcc",0.001629975068907
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-9","Plant-Pollinator","roc_auc",0.696909927679158
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-9","Plant-Pollinator","pr_auc",0.356177886002556
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-9","Plant-Pollinator","recall",0.444444444444444
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-9","Plant-Pollinator","precision",0.142857142857143
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-9","Plant-Pollinator","specificity",0.857988165680473
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-9","Plant-Pollinator","f1",0.216216216216216
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-9","Plant-Pollinator","balanced_accuracy",0.651216305062459
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-9","Plant-Pollinator","mcc",0.181998823032211
2,"A_PH_Macfadyen2009_plant-herb_A4","Plant-Herbivore","roc_auc",0.764446227929374
2,"A_PH_Macfadyen2009_plant-herb_A4","Plant-Herbivore","pr_auc",0.343992366389511
2,"A_PH_Macfadyen2009_plant-herb_A4","Plant-Herbivore","recall",0.142857142857143
2,"A_PH_Macfadyen2009_plant-herb_A4","Plant-Herbivore","precision",0.0588235294117647
2,"A_PH_Macfadyen2009_plant-herb_A4","Plant-Herbivore","specificity",0.910112359550562
2,"A_PH_Macfadyen2009_plant-herb_A4","Plant-Herbivore","f1",0.0833333333333333
2,"A_PH_Macfadyen2009_plant-herb_A4","Plant-Herbivore","balanced_accuracy",0.526484751203852
2,"A_PH_Macfadyen2009_plant-herb_A4","Plant-Herbivore","mcc",0.0349869281257136
1,"A_HP_Leong1981","Host-Parasite","roc_auc",0.706353261795265
1,"A_HP_Leong1981","Host-Parasite","pr_auc",0.36316399100277
1,"A_HP_Leong1981","Host-Parasite","recall",0.578947368421053
1,"A_HP_Leong1981","Host-Parasite","precision",0.142857142857143
1,"A_HP_Leong1981","Host-Parasite","specificity",0.786407766990291
1,"A_HP_Leong1981","Host-Parasite","f1",0.229166666666667
1,"A_HP_Leong1981","Host-Parasite","balanced_accuracy",0.682677567705672
1,"A_HP_Leong1981","Host-Parasite","mcc",0.201367339905596
4,"A_HP_Macfadyen2009_paras-herb_A5","Host-Parasite","roc_auc",0.71985559566787
4,"A_HP_Macfadyen2009_paras-herb_A5","Host-Parasite","pr_auc",0.341102742483133
4,"A_HP_Macfadyen2009_paras-herb_A5","Host-Parasite","recall",0.4
4,"A_HP_Macfadyen2009_paras-herb_A5","Host-Parasite","precision",0.16
4,"A_HP_Macfadyen2009_paras-herb_A5","Host-Parasite","specificity",0.924187725631769
4,"A_HP_Macfadyen2009_paras-herb_A5","Host-Parasite","f1",0.228571428571429
4,"A_HP_Macfadyen2009_paras-herb_A5","Host-Parasite","balanced_accuracy",0.662093862815885
4,"A_HP_Macfadyen2009_paras-herb_A5","Host-Parasite","mcc",0.210821938404354
1,"M_PL_Kaiser-Bunbury_2014_061_38","Plant-Pollinator","roc_auc",0.634254143646409
1,"M_PL_Kaiser-Bunbury_2014_061_38","Plant-Pollinator","pr_auc",0.357884299452501
1,"M_PL_Kaiser-Bunbury_2014_061_38","Plant-Pollinator","recall",0.2
1,"M_PL_Kaiser-Bunbury_2014_061_38","Plant-Pollinator","precision",0.0714285714285714
1,"M_PL_Kaiser-Bunbury_2014_061_38","Plant-Pollinator","specificity",0.856353591160221
1,"M_PL_Kaiser-Bunbury_2014_061_38","Plant-Pollinator","f1",0.105263157894737
1,"M_PL_Kaiser-Bunbury_2014_061_38","Plant-Pollinator","balanced_accuracy",0.528176795580111
1,"M_PL_Kaiser-Bunbury_2014_061_38","Plant-Pollinator","mcc",0.035488534576717
3,"M_SD_SAAV2","Plant-Seed Dispersers","roc_auc",0.814520958083832
3,"M_SD_SAAV2","Plant-Seed Dispersers","pr_auc",0.335508075200431
3,"M_SD_SAAV2","Plant-Seed Dispersers","recall",0.4
3,"M_SD_SAAV2","Plant-Seed Dispersers","precision",0.121212121212121
3,"M_SD_SAAV2","Plant-Seed Dispersers","specificity",0.913173652694611
3,"M_SD_SAAV2","Plant-Seed Dispersers","f1",0.186046511627907
3,"M_SD_SAAV2","Plant-Seed Dispersers","balanced_accuracy",0.656586826347305
3,"M_SD_SAAV2","Plant-Seed Dispersers","mcc",0.178657514057207
3,"M_SD_Souza_Gomes_2008_secondary_fore","Plant-Seed Dispersers","roc_auc",0.756824712643678
3,"M_SD_Souza_Gomes_2008_secondary_fore","Plant-Seed Dispersers","pr_auc",0.349870204523746
