"fraction","metric","avg_fixed_value","avg_lower_bound","avg_upper_bound","ci_lower_fixed","ci_upper_fixed","ci_lower_lower_bound","ci_upper_lower_bound","ci_lower_upper_bound","ci_upper_upper_bound"
0.15,"roc_auc",0.775468348779233,0.541060056734394,0.858160830501192,0.768145552545174,0.782791145013291,0.537340665798546,0.544779447670243,0.85078551243317,0.865536148569214
0.15,"pr_auc",0.372226399167872,0.495300915378207,0.495300915378207,0.369184233649421,0.375268564686324,0.492994988111194,0.497606842645221,0.492994988111194,0.497606842645221
0.15,"precision",0.180036319875653,0.180521417948165,0.829505881867386,0.17271601835221,0.187356621399096,0.173137509962372,0.187905325933957,0.812361727326256,0.846650036408516
0.15,"recall",0.551005823098974,0.184588973168997,0.746094406798691,0.532319279107984,0.569692367089964,0.173691412070981,0.195486534267013,0.729929880756699,0.762258932840683
0.15,"specificity",0.801058840260075,0.766768461265209,0.913452282260928,0.789201319932894,0.812916360587256,0.753155546471412,0.780381376059006,0.901318689447049,0.925585875074807
0.15,"f1",0.263740668477281,0.171371791558119,0.74200500606293,0.254404107270782,0.273077229683779,0.163777715769364,0.178965867346874,0.731068502056856,0.752941510069005
0.15,"mcc",0.22169741830214,-0.0457256562942595,0.700334399272165,0.21156494070488,0.2318298958994,-0.053930589763238,-0.037520722825281,0.687481106959077,0.713187691585254
0.2,"roc_auc",0.775468348779233,0.544924413429921,0.834649306319175,0.768145552545174,0.782791145013291,0.540882163303898,0.548966663555943,0.826240545794982,0.843058066843367
0.2,"pr_auc",0.372226399167872,0.533523219796461,0.533523219796461,0.369184233649421,0.375268564686324,0.531414968502484,0.535631471090438,0.531414968502484,0.535631471090438
0.2,"precision",0.180036319875653,0.180805041281623,0.900919672845715,0.17271601835221,0.187356621399096,0.173382000316307,0.188228082246939,0.887053234518454,0.914786111172976
0.2,"recall",0.551005823098974,0.153529882066796,0.687106758300855,0.532319279107984,0.569692367089964,0.14361387347095,0.163445890662641,0.667845293918617,0.706368222683093
0.2,"specificity",0.801058840260075,0.752506285988223,0.936885049006797,0.789201319932894,0.812916360587256,0.738210969984973,0.766801601991473,0.925522049135529,0.948248048878065
0.2,"f1",0.263740668477281,0.155015232247049,0.734444646536649,0.254404107270782,0.273077229683779,0.14769386127607,0.162336603218029,0.721551545653225,0.747337747420074
0.2,"mcc",0.22169741830214,-0.0981533811136819,0.698842665969745,0.21156494070488,0.2318298958994,-0.106739516990687,-0.0895672452366767,0.685821552299486,0.711863779640004
0.25,"roc_auc",0.775468348779233,0.555574802336251,0.807925242215993,0.768145552545174,0.782791145013291,0.550874041394699,0.560275563277803,0.798881653562421,0.816968830869565
0.25,"pr_auc",0.372226399167872,0.569824080659671,0.569824080659671,0.369184233649421,0.375268564686324,0.567947285990353,0.571700875328989,0.567947285990353,0.571700875328989
