"name","community","network_size","interactions_count","connectance","non_interactions_count"
"M\_PL\_Gilarranz\_2015\_ElMorro","Plant-Pollinator",82,137,0.13,6587
"M\_PL\_Gilarranz\_2015\_LaBrava","Plant-Pollinator",80,170,0.13,6230
"M\_PL\_Gilarranz\_2015\_PiedraAlta","Plant-Pollinator",88,168,0.12,7576
"M\_PL\_Gilarranz\_2015\_Vigilancia","Plant-Pollinator",106,242,0.1,10994
"M\_PL\_Kaiser-Bunbury\_2010\_060\_01","Plant-Pollinator",50,95,0.22,2405
"M\_PL\_Kaiser-Bunbury\_2010\_060\_02","Plant-Pollinator",50,107,0.23,2393
"M\_PL\_Kaiser-Bunbury\_2010\_060\_03","Plant-Pollinator",58,130,0.22,3234
"M\_PL\_Kaiser-Bunbury\_2010\_060\_04","Plant-Pollinator",67,134,0.14,4355
"M\_PL\_Kaiser-Bunbury\_2010\_060\_08","Plant-Pollinator",47,72,0.14,2137
"M\_PL\_Kaiser-Bunbury\_2010\_060\_09","Plant-Pollinator",56,77,0.12,3059
"M\_PL\_Kaiser-Bunbury\_2010\_060\_10","Plant-Pollinator",35,49,0.18,1176
"M\_PL\_Kaiser-Bunbury\_2010\_060\_11","Plant-Pollinator",34,43,0.15,1113
"M\_PL\_Kaiser-Bunbury\_2010\_060\_12","Plant-Pollinator",35,59,0.24,1166
"M\_PL\_Kaiser-Bunbury\_2010\_060\_13","Plant-Pollinator",36,47,0.26,1249
"M\_PL\_Kaiser-Bunbury\_2010\_060\_14","Plant-Pollinator",48,99,0.24,2205
"M\_PL\_Kaiser-Bunbury\_2010\_060\_15","Plant-Pollinator",51,131,0.25,2470
"M\_PL\_Kaiser-Bunbury\_2010\_060\_16","Plant-Pollinator",56,114,0.17,3022
"M\_PL\_Kaiser-Bunbury\_2010\_060\_17","Plant-Pollinator",52,100,0.17,2604
"M\_PL\_Kaiser-Bunbury\_2010\_060\_18","Plant-Pollinator",48,75,0.13,2229
"M\_PL\_Kaiser-Bunbury\_2010\_060\_19","Plant-Pollinator",31,41,0.18,920
"M\_PL\_Kaiser-Bunbury\_2010\_060\_20","Plant-Pollinator",30,37,0.17,863
"M\_PL\_Kaiser-Bunbury\_2010\_060\_21","Plant-Pollinator",28,32,0.24,752
"M\_PL\_Kaiser-Bunbury\_2010\_060\_22","Plant-Pollinator",44,64,0.16,1872
"M\_PL\_Kaiser-Bunbury\_2010\_060\_23","Plant-Pollinator",39,57,0.18,1464
"M\_PL\_Kaiser-Bunbury\_2010\_060\_24","Plant-Pollinator",36,45,0.15,1251
"M\_PL\_Kaiser-Bunbury\_2014\_061\_02","Plant-Pollinator",22,27,0.32,457
"M\_PL\_Kaiser-Bunbury\_2014\_061\_03","Plant-Pollinator",20,24,0.29,376
"M\_PL\_Kaiser-Bunbury\_2014\_061\_04","Plant-Pollinator",20,28,0.31,372
"M\_PL\_Kaiser-Bunbury\_2014\_061\_05","Plant-Pollinator",34,51,0.19,1105
"M\_PL\_Kaiser-Bunbury\_2014\_061\_06","Plant-Pollinator",35,58,0.22,1167
"M\_PL\_Kaiser-Bunbury\_2014\_061\_07","Plant-Pollinator",30,61,0.35,839
"M\_PL\_Kaiser-Bunbury\_2014\_061\_08","Plant-Pollinator",25,35,0.31,590
"M\_PL\_Kaiser-Bunbury\_2014\_061\_13","Plant-Pollinator",26,39,0.29,637
"M\_PL\_Kaiser-Bunbury\_2014\_061\_15","Plant-Pollinator",24,33,0.31,543
"M\_PL\_Kaiser-Bunbury\_2014\_061\_16","Plant-Pollinator",27,41,0.27,688
"M\_PL\_Kaiser-Bunbury\_2014\_061\_18","Plant-Pollinator",29,35,0.18,806
"M\_PL\_Kaiser-Bunbury\_2014\_061\_19","Plant-Pollinator",32,44,0.19,980
"M\_PL\_Kaiser-Bunbury\_2014\_061\_21","Plant-Pollinator",29,43,0.22,798
"M\_PL\_Kaiser-Bunbury\_2014\_061\_23","Plant-Pollinator",34,44,0.2,1112
"M\_PL\_Kaiser-Bunbury\_2014\_061\_24","Plant-Pollinator",29,46,0.23,795
"M\_PL\_Kaiser-Bunbury\_2014\_061\_26","Plant-Pollinator",20,28,0.31,372
"M\_PL\_Kaiser-Bunbury\_2014\_061\_28","Plant-Pollinator",27,36,0.24,693
"M\_PL\_Kaiser-Bunbury\_2014\_061\_29","Plant-Pollinator",26,39,0.27,637
"M\_PL\_Kaiser-Bunbury\_2014\_061\_30","Plant-Pollinator",20,30,0.33,370
"M\_PL\_Kaiser-Bunbury\_2014\_061\_31","Plant-Pollinator",24,35,0.37,541
"M\_PL\_Kaiser-Bunbury\_2014\_061\_32","Plant-Pollinator",22,27,0.32,457
"M\_PL\_Kaiser-Bunbury\_2014\_061\_36","Plant-Pollinator",24,31,0.26,545
"M\_PL\_Kaiser-Bunbury\_2014\_061\_37","Plant-Pollinator",30,43,0.21,857
"M\_PL\_Kaiser-Bunbury\_2014\_061\_38","Plant-Pollinator",33,49,0.21,1040
"M\_PL\_Kaiser-Bunbury\_2014\_061\_39","Plant-Pollinator",30,46,0.29,854
"M\_PL\_Kaiser-Bunbury\_2014\_061\_40","Plant-Pollinator",33,57,0.28,1032
"M\_PL\_Kaiser-Bunbury\_2014\_061\_43","Plant-Pollinator",23,25,0.21,504
"M\_PL\_Kaiser-Bunbury\_2014\_061\_45","Plant-Pollinator",34,50,0.2,1106
"M\_PL\_Kaiser-Bunbury\_2014\_061\_46","Plant-Pollinator",34,45,0.16,1111
"M\_PL\_Kaiser-Bunbury\_2014\_061\_47","Plant-Pollinator",33,56,0.28,1033
"M\_PL\_Kaiser-Bunbury\_2014\_061\_48","Plant-Pollinator",23,32,0.25,497
"M\_PL\_Lara-Romero\_2016\_nevero-Encroachedpasture-1","Plant-Pollinator",36,35,0.16,1261
"M\_PL\_Lara-Romero\_2016\_nevero-Encroachedpasture-10","Plant-Pollinator",56,70,0.12,3066
"M\_PL\_Lara-Romero\_2016\_nevero-Encroachedpasture-2","Plant-Pollinator",36,36,0.16,1260
"M\_PL\_Lara-Romero\_2016\_nevero-Encroachedpasture-3","Plant-Pollinator",38,44,0.18,1400
"M\_PL\_Lara-Romero\_2016\_nevero-Encroachedpasture-4","Plant-Pollinator",40,52,0.19,1548
"M\_PL\_Lara-Romero\_2016\_nevero-Encroachedpasture-5","Plant-Pollinator",36,42,0.17,1254
"M\_PL\_Lara-Romero\_2016\_nevero-Encroachedpasture-6","Plant-Pollinator",27,27,0.21,702
"M\_PL\_Lara-Romero\_2016\_nevero-Encroachedpasture-7","Plant-Pollinator",35,37,0.13,1188
"M\_PL\_Lara-Romero\_2016\_nevero-Encroachedpasture-8","Plant-Pollinator",67,94,0.14,4395
"M\_PL\_Lara-Romero\_2016\_nevero-Encroachedpasture-9","Plant-Pollinator",47,58,0.16,2151
"M\_PL\_Lara-Romero\_2016\_nevero-Pasture-1","Plant-Pollinator",32,36,0.21,988
"M\_PL\_Lara-Romero\_2016\_nevero-Pasture-2","Plant-Pollinator",34,37,0.2,1119
"M\_PL\_Lara-Romero\_2016\_nevero-Pasture-3","Plant-Pollinator",26,29,0.24,647
"M\_PL\_Lara-Romero\_2016\_nevero-Pasture-4","Plant-Pollinator",31,33,0.18,928
"M\_PL\_Lara-Romero\_2016\_nevero-Pasture-5","Plant-Pollinator",29,30,0.19,811
"M\_PL\_Lara-Romero\_2016\_nevero-Pasture-6","Plant-Pollinator",21,21,0.23,420
"M\_PL\_Lara-Romero\_2016\_nevero-Pasture-8","Plant-Pollinator",35,46,0.2,1179
"M\_PL\_Lara-Romero\_2016\_nevero-Pasture-9","Plant-Pollinator",38,57,0.24,1387
"M\_PL\_Lara-Romero\_2016\_penalara-Encroachedpasture-1","Plant-Pollinator",44,70,0.19,1866
"M\_PL\_Lara-Romero\_2016\_penalara-Encroachedpasture-10","Plant-Pollinator",49,63,0.16,2338
"M\_PL\_Lara-Romero\_2016\_penalara-Encroachedpasture-2","Plant-Pollinator",44,63,0.16,1873
"M\_PL\_Lara-Romero\_2016\_penalara-Encroachedpasture-3","Plant-Pollinator",36,57,0.28,1239
"M\_PL\_Lara-Romero\_2016\_penalara-Encroachedpasture-4","Plant-Pollinator",45,64,0.16,1961
"M\_PL\_Lara-Romero\_2016\_penalara-Encroachedpasture-5","Plant-Pollinator",54,67,0.13,2849
"M\_PL\_Lara-Romero\_2016\_penalara-Encroachedpasture-6","Plant-Pollinator",56,86,0.19,3050
"M\_PL\_Lara-Romero\_2016\_penalara-Encroachedpasture-7","Plant-Pollinator",45,63,0.18,1962
"M\_PL\_Lara-Romero\_2016\_penalara-Encroachedpasture-8","Plant-Pollinator",34,50,0.22,1106
"M\_PL\_Lara-Romero\_2016\_penalara-Encroachedpasture-9","Plant-Pollinator",31,41,0.2,920
"M\_PL\_Lara-Romero\_2016\_penalara-Pasture-1","Plant-Pollinator",23,27,0.26,502
"M\_PL\_Lara-Romero\_2016\_penalara-Pasture-10","Plant-Pollinator",33,56,0.28,1033
"M\_PL\_Lara-Romero\_2016\_penalara-Pasture-2","Plant-Pollinator",29,40,0.26,801
"M\_PL\_Lara-Romero\_2016\_penalara-Pasture-3","Plant-Pollinator",28,33,0.18,751
"M\_PL\_Lara-Romero\_2016\_penalara-Pasture-4","Plant-Pollinator",31,39,0.23,922
"M\_PL\_Lara-Romero\_2016\_penalara-Pasture-5","Plant-Pollinator",27,37,0.29,692
"M\_PL\_Lara-Romero\_2016\_penalara-Pasture-6","Plant-Pollinator",24,31,0.26,545
"M\_PL\_Lara-Romero\_2016\_penalara-Pasture-7","Plant-Pollinator",33,46,0.23,1043
"M\_PL\_Lara-Romero\_2016\_penalara-Pasture-8","Plant-Pollinator",38,59,0.25,1385
"M\_PL\_Lara-Romero\_2016\_penalara-Pasture-9","Plant-Pollinator",39,61,0.27,1460
"M\_PL\_LasCasas","Plant-Pollinator",36,59,0.38,1237
"M\_PL\_Llaviuco\_tinoco","Plant-Pollinator",31,53,0.23,908
"M\_PL\_Lundgren2005","Plant-Pollinator",41,62,0.16,1619
"M\_PL\_Maglianesi\_high","Plant-Pollinator",29,37,0.21,804
"M\_PL\_Maglianesi\_low","Plant-Pollinator",28,40,0.27,744
"M\_PL\_Maglianesi\_mid","Plant-Pollinator",31,47,0.28,914
"M\_PL\_Magrach2017\_Sweden\_2011\_high","Plant-Pollinator",76,130,0.1,5646
"M\_PL\_Magrach2017\_UK\_2011\_low","Plant-Pollinator",61,98,0.11,3623
"M\_PL\_Magrach2017\_UK\_2012\_high","Plant-Pollinator",50,83,0.13,2417
"M\_PL\_Maruyama","Plant-Pollinator",24,36,0.33,540
"M\_PL\_Mazan\_tinoco","Plant-Pollinator",26,51,0.38,625
"M\_PL\_Memmott1999","Plant-Pollinator",104,299,0.15,10517
"M\_PL\_Mosquin1967","Plant-Pollinator",22,33,0.29,451
"M\_PL\_Motten1982","Plant-Pollinator",57,143,0.25,3106
"M\_PL\_Nero\_tinoco","Plant-Pollinator",28,52,0.3,732
"M\_PL\_Olesen-3","Plant-Pollinator",22,30,0.25,454
"M\_PL\_Olesen2002","Plant-Pollinator",27,52,0.29,677
"M\_PL\_Ollerton2003","Plant-Pollinator",65,103,0.2,4122
"M\_PL\_Orford\_2016\_Farm-2012-B1","Plant-Pollinator",44,57,0.16,1879
"M\_PL\_Orford\_2016\_Farm-2012-B2","Plant-Pollinator",48,63,0.12,2241
"M\_PL\_Orford\_2016\_Farm-2012-B4","Plant-Pollinator",63,81,0.11,3888
"M\_PL\_Orford\_2016\_Farm-2012-B5","Plant-Pollinator",25,30,0.2,595
"M\_PL\_Orford\_2016\_Farm-2012-B6","Plant-Pollinator",63,78,0.1,3891
"M\_PL\_Orford\_2016\_Farm-2012-B7","Plant-Pollinator",44,52,0.12,1884
"M\_PL\_Orford\_2016\_Farm-2012-B8","Plant-Pollinator",54,84,0.19,2832
"M\_PL\_Orford\_2016\_Farm-2012-B9","Plant-Pollinator",27,31,0.2,698
"M\_PL\_Orford\_2016\_Farm-2013-B1","Plant-Pollinator",20,21,0.28,379
"M\_PL\_Orford\_2016\_Farm-2013-B2","Plant-Pollinator",25,26,0.26,599
"M\_PL\_Orford\_2016\_Farm-2013-B4","Plant-Pollinator",32,36,0.19,988
"M\_PL\_Orford\_2016\_Farm-2013-B7","Plant-Pollinator",20,21,0.25,379
"M\_PL\_Orford\_2016\_Field-10","Plant-Pollinator",38,49,0.19,1395
"M\_PL\_Orford\_2016\_Field-13","Plant-Pollinator",41,45,0.16,1636
"M\_PL\_Orford\_2016\_Field-15","Plant-Pollinator",40,51,0.2,1549
"M\_PL\_Orford\_2016\_Field-19","Plant-Pollinator",53,65,0.16,2744
"M\_PL\_Orford\_2016\_Field-24","Plant-Pollinator",29,34,0.22,807
"M\_PL\_Orford\_2016\_Field-27","Plant-Pollinator",50,76,0.23,2424
"M\_PL\_Orford\_2016\_Field-28","Plant-Pollinator",47,62,0.18,2147
"M\_PL\_Orford\_2016\_Field-33","Plant-Pollinator",29,38,0.28,803
"M\_PL\_Orford\_2016\_Field-36","Plant-Pollinator",39,54,0.27,1467
"M\_PL\_Orford\_2016\_Field-4","Plant-Pollinator",47,58,0.19,2151
"M\_PL\_Orford\_2016\_Field-40","Plant-Pollinator",30,36,0.29,864
"M\_PL\_Orford\_2016\_Field-42","Plant-Pollinator",45,58,0.18,1967
"M\_PL\_Orford\_2016\_Field-45","Plant-Pollinator",44,51,0.14,1885
"M\_PL\_Orford\_2016\_Field-49","Plant-Pollinator",39,48,0.21,1473
"M\_PL\_Orford\_2016\_Field-51","Plant-Pollinator",42,51,0.21,1713
"M\_PL\_Orford\_2016\_Field-54","Plant-Pollinator",61,87,0.19,3634
"M\_PL\_Orford\_2016\_Field-55","Plant-Pollinator",61,86,0.15,3635
"M\_PL\_Orford\_2016\_Field-58","Plant-Pollinator",47,58,0.16,2151
"M\_PL\_Orford\_2016\_Field-63","Plant-Pollinator",42,48,0.22,1716
"M\_PL\_Orford\_2016\_Field-64","Plant-Pollinator",39,46,0.17,1475
"M\_PL\_Orford\_2016\_Field-67","Plant-Pollinator",50,64,0.16,2436
"M\_PL\_Orford\_2016\_Field-7","Plant-Pollinator",40,55,0.2,1545
