feature,model,importance,fold
betweenness_LL,LogisticRegression,-0.4263309475388518,3
betweenness_HL,LogisticRegression,-0.3248789637379009,3
hits_authorities_LL,LogisticRegression,-0.26133243401556605,3
hits_authorities_HL,LogisticRegression,-0.18697557166694287,3
compartment diversity,LogisticRegression,-0.14307144474005914,3
pagerank_LL,LogisticRegression,-0.08800900549512485,3
hits_hubs_HL,LogisticRegression,-0.061090603360579,3
V.ratio.LL,LogisticRegression,-0.03081213851444173,3
community_Plant-Pollinator,LogisticRegression,0.0010885387883944068,3
nestedrank_HL,LogisticRegression,0.006073521582003278,3
community_Plant-Seed Dispersers,LogisticRegression,0.006389393020657728,3
hits_hubs_LL,LogisticRegression,0.04972155889033935,3
node_redundancy_HL,LogisticRegression,0.14219565143898968,3
latapy_clustering_LL,LogisticRegression,0.16498674255286655,3
d_LL,LogisticRegression,0.2569520133090656,3
node_redundancy_LL,LogisticRegression,0.2638886584816189,3
latapy_clustering_HL,LogisticRegression,0.2976307429722448,3
d_HL,LogisticRegression,0.32927959096986914,3
PDI_LL,LogisticRegression,0.35001829083268743,3
nestedrank_LL,LogisticRegression,0.39052134335374333,3
node.specialisation.index.NSI_HL,LogisticRegression,0.4669191429948335,3
Fisher.alpha_LL,LogisticRegression,0.7122192083146106,3
node.specialisation.index.NSI_LL,LogisticRegression,0.8538000645230907,3
Fisher.alpha_HL,LogisticRegression,0.9268320380995275,3
friends_measure,LogisticRegression,1.2355642982508162,3
cent_eigen,LogisticRegression,1.3053591789704748,3
shortest_paths_count,LogisticRegression,1.825653938360757,3
closeness_centrality_HL,LogisticRegression,2.0637526972999147,3
degree_centrality_HL,LogisticRegression,2.3585330609640582,3
species.specificity.index_LL,LogisticRegression,2.4710542662787094,3
closeness_centrality_LL,LogisticRegression,2.5600250704399024,3
degree_centrality_LL,LogisticRegression,3.413722186956334,3
betweenness_centrality_HL,LogisticRegression,3.490717750492038,3
betweenness_centrality_LL,LogisticRegression,3.8496881288641287,3
species.specificity.index_HL,LogisticRegression,4.917751346526505,3
degree_LL,LogisticRegression,18.389978918626724,3
degree_HL,LogisticRegression,22.14605865214132,3
shortest_path_length,XGBClassifier,0.2394256889820099,3
degree_centrality_LL,XGBClassifier,0.0440220944583416,3
PDI_LL,XGBClassifier,0.03826172277331352,3
preferential_attachment,XGBClassifier,0.03816618397831917,3
degree_centrality_HL,XGBClassifier,0.03662438318133354,3
PDI_HL,XGBClassifier,0.03496359661221504,3
degree_LL,XGBClassifier,0.030378591269254684,3
degree_HL,XGBClassifier,0.028922120109200478,3
friends_measure,XGBClassifier,0.024673957377672195,3
species.specificity.index_LL,XGBClassifier,0.024333592504262924,3
betweenness_centrality_HL,XGBClassifier,0.023318864405155182,3
Fisher.alpha_HL,XGBClassifier,0.023289816454052925,3
shortest_paths_count,XGBClassifier,0.021482639014720917,3
species.specificity.index_HL,XGBClassifier,0.02066802605986595,3
nestedrank_LL,XGBClassifier,0.020000826567411423,3
betweenness_LL,XGBClassifier,0.019876008853316307,3
node_redundancy_LL,XGBClassifier,0.019074060022830963,3
interaction.push.pull_LL,XGBClassifier,0.018563205376267433,3
pagerank_LL,XGBClassifier,0.016968686133623123,3
species.strength_LL,XGBClassifier,0.016941355541348457,3
nestedrank_HL,XGBClassifier,0.01680040918290615,3
node_redundancy_HL,XGBClassifier,0.016707928851246834,3
closeness_centrality_LL,XGBClassifier,0.016561515629291534,3
interaction.push.pull_HL,XGBClassifier,0.01541301142424345,3
species.strength_HL,XGBClassifier,0.015352226793766022,3
betweenness_HL,XGBClassifier,0.01476298924535513,3
pagerank_HL,XGBClassifier,0.014345933683216572,3
hits_authorities_LL,XGBClassifier,0.014040466398000717,3
Fisher.alpha_LL,XGBClassifier,0.013681543059647083,3
closeness_centrality_HL,XGBClassifier,0.013193299062550068,3
d_HL,XGBClassifier,0.012903246097266674,3
node.specialisation.index.NSI_LL,XGBClassifier,0.012739340774714947,3
hits_hubs_HL,XGBClassifier,0.011639020405709743,3
closeness_LL,XGBClassifier,0.011282498948276043,3
betweenness_centrality_LL,XGBClassifier,0.011281898245215416,3
hits_hubs_LL,XGBClassifier,0.01102111954241991,3
hits_authorities_HL,XGBClassifier,0.010933458805084229,3
d_LL,XGBClassifier,0.010103442706167698,3
closeness_HL,XGBClassifier,0.009940330870449543,3
compartment diversity,XGBClassifier,0.0073408749885857105,3
degree_centrality_HL,RandomForestClassifier,0.15921295305534872,4
degree_centrality_LL,RandomForestClassifier,0.09983119664183818,4
PDI_HL,RandomForestClassifier,0.07181467691463855,4
nestedrank_LL,RandomForestClassifier,0.0620582380068524,4
species.specificity.index_LL,RandomForestClassifier,0.05503881436148809,4
PDI_LL,RandomForestClassifier,0.05069546802077595,4
betweenness_centrality_LL,RandomForestClassifier,0.04249728394726213,4
degree_HL,RandomForestClassifier,0.03899834412647058,4
preferential_attachment,RandomForestClassifier,0.038878628154750565,4
species.specificity.index_HL,RandomForestClassifier,0.03772213722210352,4
nestedrank_HL,RandomForestClassifier,0.034712908602376996,4
degree_LL,RandomForestClassifier,0.032709808710207705,4
Fisher.alpha_LL,RandomForestClassifier,0.028443606433453276,4
friends_measure,RandomForestClassifier,0.02842141304929314,4
betweenness_centrality_HL,RandomForestClassifier,0.02763743694117842,4
shortest_path_length,RandomForestClassifier,0.026816783057707582,4
pagerank_LL,RandomForestClassifier,0.02619468810526694,4
shortest_paths_count,RandomForestClassifier,0.02480181840035325,4
pagerank_HL,RandomForestClassifier,0.015590363258404877,4
interaction.push.pull_HL,RandomForestClassifier,0.015158749278813778,4
species.strength_HL,RandomForestClassifier,0.014450859891787385,4
species.strength_LL,RandomForestClassifier,0.011217125324210401,4
betweenness_HL,RandomForestClassifier,0.011106062034766153,4
node.specialisation.index.NSI_HL,RandomForestClassifier,0.010445931907554069,4
betweenness_LL,RandomForestClassifier,0.007903582245613695,4
closeness_centrality_HL,RandomForestClassifier,0.007880979145595915,4
interaction.push.pull_LL,RandomForestClassifier,0.007568281482222091,4
Fisher.alpha_HL,RandomForestClassifier,0.0041106408510777695,4
node.specialisation.index.NSI_LL,RandomForestClassifier,0.0025024019776626904,4
d_LL,RandomForestClassifier,0.0019956150144245675,4
average_neighbor_degree_HL,RandomForestClassifier,0.0013865623921038089,4
hits_authorities_LL,RandomForestClassifier,0.0013149090461643887,4
hits_hubs_HL,RandomForestClassifier,0.0008817323982325145,4
motif_13_norm,RandomForestClassifier,0.0,4
edge_connectivity,RandomForestClassifier,0.0,4
closeness_HL,RandomForestClassifier,0.0,4
d_HL,RandomForestClassifier,0.0,4
motif_11_norm,RandomForestClassifier,0.0,4
closeness_LL,RandomForestClassifier,0.0,4
cent_between,RandomForestClassifier,0.0,4
cent_eigen,RandomForestClassifier,0.0,4
community_Plant-Seed Dispersers,RandomForestClassifier,0.0,4
motif_12_norm,RandomForestClassifier,0.0,4
motif_1_norm,RandomForestClassifier,0.0,4
motif_10_norm,RandomForestClassifier,0.0,4
motif_9_norm,RandomForestClassifier,0.0,4
latapy_clustering_LL,RandomForestClassifier,0.0,4
node_redundancy_LL,RandomForestClassifier,0.0,4
closeness_centrality_LL,RandomForestClassifier,0.0,4
average_neighbor_degree_LL,RandomForestClassifier,0.0,4
hits_hubs_LL,RandomForestClassifier,0.0,4
